views,comments,freq,month-year,moving-avg-views,piecewise-views,moving-avg-comments,piecewise-comments,moving-avg-freq,piecewise-freq
0,0,0,2020-07-01,8000.0,6773.820660004625,76.25,61.370047935651655,1.0,1.1408612750570626
0,0,0,2020-08-01,6000.0,7010.206604036386,63.5,68.56352548063842,0.75,1.0968911425237593
0,0,0,2020-09-01,5000.0,7246.592548062559,61.5,75.75700302562564,0.25,1.052921009990456
2000,3,1,2020-10-01,500.0,7482.978492092574,0.75,-3.464652130328602,0.25,1.0089508774570675
14000,75,2,2020-11-01,4000.0,7719.364436124335,19.5,22.29808738501788,0.75,0.964983268716253
10000,86,3,2020-12-01,6500.0,7955.750380152254,41.0,48.06082690036419,1.5,1.7351180566525386
16649,154,6,2021-01-01,10662.25,8192.136324180407,79.5,73.8235664157105,3.0,2.5052528445887106
9000,54,4,2021-02-01,12412.25,8428.522268212226,92.25,79.79547847848562,3.75,3.2753876325249394
2000,11,1,2021-03-01,9412.25,8664.908212242066,76.25,72.2687577161746,3.5,4.045522420461225
8518,47,4,2021-04-01,9041.75,8835.136267162336,66.5,64.74203695386177,3.75,4.299829440542169
20000,36,4,2021-05-01,9879.5,8450.748857165776,37.0,57.215316191549846,3.25,3.8706565771562964
14881,45,6,2021-06-01,11349.75,8066.3614471691,34.75,49.68859542923565,3.75,3.4414837137702534
8000,65,1,2021-07-01,12849.75,7681.974037172483,48.25,42.16187466692554,3.75,3.0123108503841536
1960,12,2,2021-08-01,11210.25,7297.586627173945,39.5,34.63515390461271,3.25,2.583137986998281
4000,9,2,2021-09-01,7210.25,6913.199217177444,32.75,27.108433142299873,2.75,2.1539651236121813
0,0,0,2021-10-01,3490.0,6528.811807180884,21.5,19.58171237998795,1.25,1.7247922602261951
0,0,0,2021-11-01,1490.0,6144.424397184267,5.25,12.054991617675114,1.0,1.295619396840209
0,0,0,2021-12-01,1000.0,5760.036987185729,2.25,4.528270855364099,0.5,0.866446533454166
2000,18,1,2022-01-01,500.0,5375.649577189286,4.5,-2.9984499069487356,0.25,0.7086177709913823
9000,97,3,2022-02-01,2750.0,4991.262167194415,28.75,29.000000000001613,1.0,0.8676707500405255
967,5,1,2022-03-01,2991.75,4606.874757194072,30.0,28.609090909086845,1.25,1.0267237290896685
584,5,1,2022-04-01,3137.75,4222.487347197397,31.25,28.218181818181193,1.5,1.185776708138755
5000,23,1,2022-05-01,3887.75,3838.0999372028164,32.5,27.82727272727189,1.5,1.3448296871878411
2000,13,1,2022-06-01,2137.75,3453.7125272061985,11.5,27.436363636362557,1.0,1.503882666237041
5000,53,2,2022-07-01,3146.0,3069.3251172059154,23.5,27.045454545453254,1.25,1.662935645286184
7949,46,5,2022-08-01,4987.25,2684.9377072112184,33.75,26.65454545454395,2.25,1.821988624335213
2000,7,1,2022-09-01,4237.25,2300.5502972126797,29.75,26.263636363634646,2.25,1.981041603384356
1000,4,1,2022-10-01,3987.25,1916.1628872160036,27.5,25.872727272723523,2.25,2.140094582433556
3751,62,4,2022-11-01,3675.0,1531.7754772195622,29.75,25.48181818181604,2.75,2.299147561482642
679,4,1,2022-12-01,1857.5,1147.3880672223254,19.25,25.090909090906756,1.75,2.4582005405317804
